area_name,latitude,longitude,incident_type,date,time
"Harmu, Ranchi",23.356738,85.300314,Health,2024-10-31,22:14:36
"Steel Gate, Bokaro",23.669991,86.1431,Utility,2024-11-12,08:04:00
Dumka Chowk,24.276559,87.255567,Protest,2024-05-01,03:54:58
Dumka Chowk,24.265677,87.243718,Traffic,2024-04-05,03:43:01
"Ringle Road, Ranchi",23.353341,85.300026,Utility,2024-06-30,20:23:01
"Bistupur, Jamshedpur",22.795897,86.193549,Disaster,2024-06-17,07:07:00
"Steel Gate, Bokaro",23.671698,86.145714,Protest,2024-02-15,08:27:04
"Steel Gate, Bokaro",23.664762,86.148566,Utility,2024-05-29,22:31:37
"Sakchi, Jamshedpur",22.808977,86.210103,Crime,2024-06-15,20:43:07
Dumka Chowk,24.275936,87.258032,Utility,2024-12-09,00:32:18
Chaibasa Market,22.544439,85.809532,Crime,2024-07-09,07:18:36
"Bank More, Dhanbad",23.785762,86.422195,Infrastructure,2024-07-07,06:43:02
"Harmu, Ranchi",23.362293,85.292531,Crime,2024-06-15,19:06:17
Chaibasa Market,22.547483,85.799927,Others,2024-03-08,07:55:26
"Sakchi, Jamshedpur",22.800997,86.200106,Protest,2024-12-21,22:32:09
Chaibasa Market,22.548496,85.807047,Protest,2024-02-12,21:35:30
"Main Road, Ranchi",23.371793,85.322108,Others,2024-04-02,10:52:30
"Bistupur, Jamshedpur",22.80603,86.201785,Disaster,2024-08-05,17:21:35
"Steel Gate, Bokaro",23.67399,86.150874,Protest,2024-03-24,00:02:55
"Ringle Road, Ranchi",23.34667,85.301674,Disaster,2024-04-06,13:37:47
"Steel Gate, Bokaro",23.674416,86.159814,Traffic,2024-07-02,15:58:09
"Main Road, Ranchi",23.374257,85.319999,Utility,2024-08-01,17:17:31
"Bank More, Dhanbad",23.787787,86.435096,Traffic,2024-05-12,04:59:26
"Steel Gate, Bokaro",23.661254,86.154267,Protest,2024-08-19,20:00:46
"Main Road, Ranchi",23.373231,85.323309,Others,2024-12-01,19:09:39
"Bank More, Dhanbad",23.795458,86.422295,Crime,2024-01-27,02:11:50
"Sakchi, Jamshedpur",22.810623,86.207574,Crime,2024-03-17,22:07:40
"Bank More, Dhanbad",23.787975,86.432802,Infrastructure,2024-07-16,05:49:09
"Bistupur, Jamshedpur",22.798094,86.210561,Utility,2024-07-28,02:24:06
"Katras Road, Dhanbad",23.819672,86.321571,Crime,2024-05-20,01:25:45
"Ringle Road, Ranchi",23.353554,85.301509,Utility,2024-09-28,04:27:42
"Main Road, Ranchi",23.364333,85.327061,Traffic,2024-02-12,22:37:44
"Sakchi, Jamshedpur",22.792607,86.200944,Utility,2024-10-22,07:36:49
"Main Road, Ranchi",23.362868,85.321534,Others,2024-11-04,23:43:43
"Steel Gate, Bokaro",23.672142,86.152899,Traffic,2024-08-12,14:37:09
"Steel Gate, Bokaro",23.661444,86.142838,Infrastructure,2024-11-09,08:18:31
Dumka Chowk,24.260569,87.246415,Disaster,2024-08-30,20:21:32
"Harmu, Ranchi",23.353038,85.292032,Traffic,2024-10-17,08:05:51
"Main Road, Ranchi",23.37812,85.328044,Disaster,2024-11-28,15:34:29
"Harmu, Ranchi",23.352368,85.304619,Others,2024-12-11,16:59:00
Chaibasa Market,22.559447,85.806069,Infrastructure,2024-12-29,07:55:44
"Steel Gate, Bokaro",23.66522,86.141492,Disaster,2024-02-08,15:45:22
"Harmu, Ranchi",23.362852,85.30023,Traffic,2024-07-28,11:36:29
"Harmu, Ranchi",23.350721,85.306495,Traffic,2024-10-24,23:45:36
"Steel Gate, Bokaro",23.662821,86.149413,Crime,2024-05-10,02:08:17
"Ringle Road, Ranchi",23.334614,85.31405,Disaster,2024-07-17,23:02:33
Dumka Chowk,24.276599,87.246308,Crime,2024-06-08,22:27:29
"Ringle Road, Ranchi",23.34491,85.310844,Infrastructure,2024-12-19,14:54:03
"Steel Gate, Bokaro",23.667867,86.143671,Protest,2024-03-07,02:02:47
"Ringle Road, Ranchi",23.335216,85.312374,Others,2024-11-14,01:46:45
"Bank More, Dhanbad",23.805543,86.439273,Utility,2024-10-19,08:42:40
"Bistupur, Jamshedpur",22.8134,86.204553,Health,2024-06-15,22:23:07
"Harmu, Ranchi",23.360846,85.294727,Protest,2024-11-25,02:49:19
"Main Road, Ranchi",23.36372,85.325862,Utility,2024-11-03,04:33:57
"Harmu, Ranchi",23.352542,85.287827,Traffic,2024-11-27,17:13:53
"Bank More, Dhanbad",23.797306,86.428716,Health,2024-10-14,15:03:17
Chaibasa Market,22.553261,85.799758,Others,2024-09-28,23:32:40
"Steel Gate, Bokaro",23.676543,86.143508,Utility,2024-05-31,15:26:01
"Main Road, Ranchi",23.368657,85.328309,Infrastructure,2024-04-21,04:56:55
"Main Road, Ranchi",23.379661,85.322074,Crime,2024-10-04,19:43:16
